Ticker,Name,Sector,Country
AQST,"Aquestive Therapeutics, Inc.",Healthcare,United States
AQUA,Evoqua Water Technologies Corp.,Industrials,United States
AR,Antero Resources Corporation,Energy,United States
ARAV,"Aravive, Inc.",Healthcare,United States
ARAY,Accuray Incorporated,Healthcare,United States
ARBE,Arbe Robotics Ltd.,Technology,Israel
ARBG,Aequi Acquisition Corp.,Financial Services,United States
ARBK,Argo Blockchain plc,Financial Services,United Kingdom
ARC,"ARC Document Solutions, Inc.",Industrials,United States
ARCB,ArcBest Corporation,Industrials,United States
ARCC,Ares Capital Corporation,Financial Services,United States
ARCE,Arco Platform Limited,Consumer Defensive,Brazil
ARCH,"Arch Resources, Inc.",Energy,United States
ARCK,Arbor Rapha Capital Bioholdings Corp. I,Financial Services,United States
ARCO,Arcos Dorados Holdings Inc.,Consumer Cyclical,Uruguay
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,United States
ARDS,"Aridis Pharmaceuticals, Inc.",Healthcare,United States
ARDX,"Ardelyx, Inc.",Healthcare,United States
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,United States
AREC,American Resources Corporation,Basic Materials,United States
AREN,"The Arena Group Holdings, Inc.",Communication Services,United States
ARES,Ares Management Corporation,Financial Services,United States
ARGO,"Argo Group International Holdings, Ltd.",Financial Services,Bermuda
ARGU,Argus Capital Corp.,Financial Services,United States
ARGX,argenx SE,Healthcare,Netherlands
ARHS,"Arhaus, Inc.",Consumer Cyclical,United States
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,United States
ARIS,"Aris Water Solutions, Inc.",Utilities,United States
ARIZ,Arisz Acquisition Corp.,Financial Services,United States
ARKO,Arko Corp.,Consumer Cyclical,United States
ARKR,Ark Restaurants Corp.,Consumer Cyclical,United States
ARL,"American Realty Investors, Inc.",Real Estate,United States
ARLO,"Arlo Technologies, Inc.",Industrials,United States
ARLP,"Alliance Resource Partners, L.P.",Energy,United States
ARMK,Aramark,Industrials,United States
ARMP,"Armata Pharmaceuticals, Inc.",Healthcare,United States
ARNC,Arconic Corporation,Industrials,United States
AROC,"Archrock, Inc.",Energy,United States
AROW,Arrow Financial Corporation,Financial Services,United States
ARQQ,Arqit Quantum Inc.,Technology,United Kingdom
ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,United States
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,United States
ARRW,Arrowroot Acquisition Corp.,Financial Services,United States
ARRY,"Array Technologies, Inc.",Technology,United States
ARTE,Artemis Strategic Investment Corporation,Financial Services,United States
ARTL,"Artelo Biosciences, Inc.",Healthcare,United States
ARTNA,Artesian Resources Corporation,Utilities,United States
ARTW,"Art's-Way Manufacturing Co., Inc.",Industrials,United States
ARVL,Arrival,Consumer Cyclical,Luxembourg
ARVN,"Arvinas, Inc.",Healthcare,United States
ARW,"Arrow Electronics, Inc.",Technology,United States
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,United States
ARYD,ARYA Sciences Acquisition Corp IV,Financial Services,United States
ARYE,ARYA Sciences Acquisition Corp V,Financial Services,United States
ASA,ASA Gold and Precious Metals Limited,Financial Services,United States
ASAI,Sendas Distribuidora S.A.,Consumer Defensive,Brazil
ASAN,"Asana, Inc.",Technology,United States
ASAQ,Atlantic Avenue Acquisition Corp,Financial Services,United States
ASAX,Astrea Acquisition Corp.,Financial Services,United States
ASB,Associated Banc-Corp,Financial Services,United States
ASC,Ardmore Shipping Corporation,Industrials,Bermuda
ASCA,A SPAC I Acquisition Corp.,Financial Services,Singapore
ASCB,,,
ASGN,ASGN Incorporated,Technology,United States
ASH,Ashland Global Holdings Inc.,Basic Materials,United States
ASIX,AdvanSix Inc.,Basic Materials,United States
ASLE,AerSale Corporation,Industrials,United States
ASLN,ASLAN Pharmaceuticals Limited,Healthcare,Singapore
ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Canada
ASMB,"Assembly Biosciences, Inc.",Healthcare,United States
ASML,ASML Holding N.V.,Technology,Netherlands
ASND,Ascendis Pharma A/S,Healthcare,Denmark
ASNS,"Actelis Networks, Inc.",,
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,United States
ASPA,"Abri SPAC I, Inc.",Financial Services,United States
ASPC,Alpha Capital Acquisition Company,Financial Services,United States
ASPN,"Aspen Aerogels, Inc.",Industrials,United States
ASPS,Altisource Portfolio Solutions S.A.,Financial Services,Luxembourg
