Symbol,Name,Industry,Market Cap,Sector,Country
SCYX,"SCYNEXIS, Inc.",Pharmaceuticals,61249460.0,Healthcare,United States
SD,"SandRidge Energy, Inc.","Oil, Gas & Consumable Fuels",900891257.0,Energy,United States
SDAC,Sustainable Development Acquisition I Corp.,Blank Check / SPAC,387010428.0,Financial Services,United States
SDC,"SmileDirectClub, Inc.",Health Care Equipment & Supplies,551116222.0,Healthcare,United States
SDGR,"Schrödinger, Inc.",Health Care Technology,1790548468.0,Healthcare,United States
SDH,"Global Internet of People, Inc.",Consulting Services,48442800.0,Industrials,China
SDIG,"Stronghold Digital Mining, Inc.",Internet Software & Services,60104700.0,Financial Services,United States
SDPI,"Superior Drilling Products, Inc.",Energy Equipment & Services,28799700.0,Energy,United States
SE,Sea Limited,Entertainment,44527157184.0,Consumer Cyclical,Singapore
SEAC,"SeaChange International, Inc.",Software,36878303.0,Technology,United States
SEAS,"SeaWorld Entertainment, Inc.","Hotels, Restaurants & Leisure",3969825488.0,Consumer Cyclical,United States
SEAT,Vivid Seats Inc.,Internet Content & Information,703660088.0,Communication Services,United States
SEB,Seaboard Corporation,Food Products,4760672190.0,Industrials,United States
SECO,Secoo Holding Limited,Internet & Direct Marketing Retail,15614225.0,Consumer Cyclical,China
SEDA,SDCL EDGE Acquisition Corporation,Blank Check / SPAC,243192573.0,Financial Services,United States
SEDG,"SolarEdge Technologies, Inc.",Semiconductors & Semiconductor Equipment,14757392212.0,Technology,Israel
SEE,Sealed Air Corporation,Containers & Packaging,9174075388.0,Consumer Cyclical,United States
SEED,Origin Agritech Limited,Food Products,42641043.0,Basic Materials,China
SEEL,"Seelos Therapeutics, Inc.",Pharmaceuticals,63113535.0,Healthcare,United States
SEER,"Seer, Inc.",Life Sciences Tools & Services,498286362.0,Healthcare,United States
SEIC,SEI Investments Company,Capital Markets,7870832612.0,Financial Services,United States
SELB,"Selecta Biosciences, Inc.",Biotechnology,106509191.0,Healthcare,United States
SELF,"Global Self Storage, Inc.",Equity Real Estate Investment Trusts ...,62857803.0,Real Estate,United States
